adm0_name,iso3,X,Y,published,source,airline,info,optional1,optional2,optional3,ObjectId
Saint Barthélemy,BLM,-62.831638,17.896055,,,,,,,,570
Saint Helena,SHN,-14.367084,-7.943579,,,,,,,,571
Saint Helena,SHN,-9.941238,-40.317888,,,,,,,,572
Saint Helena,SHN,-5.707424,-15.965211,,,,,,,,573
Saint Helena,SHN,-12.284038,-37.11176,,,,,,,,574
Saint Kitts and Nevis,KNA,-62.765706,17.33978,,,,,,,,575
Saint Lucia,LCA,-60.967282,13.898456,,,,,,,,576
Saint Martin,MAF,-63.049372,18.082975,25.05.2020,https://www.thedailyherald.sx/islands/air-antilles-air-caraibes-resume-their-regional-flights-as-of-may-25,.Ait Antilles,"Air Antilles, Air Caraïbes resume their regional flights as of May 25",,,,577
Saint Pierre et Miquelon,SPM,-56.321676,46.855208,,,,,,,,578
Saint Vincent and the Grenadines,VCT,-61.189064,13.251505,,,,,,,,579
Samoa,WSM,-172.44726,-13.620773,21.03.2020,https://www.stuff.co.nz/national/health/coronavirus/120472548/coronavirus-samoa-suspends-all-flights-from-australia,Samoa Airways,"Flights between Samoa, Australia suspended until further notice because of COVID-19; flights between Apia, Auckland restricted",,,,580
San Marino,SMR,12.46329,43.938418,,,,,,,,581
Sao Tome and Principe,STP,6.602138,0.239483,,,,,,,,582
Saudi Arabia,SAU,44.547567,24.125926,23.05.2020,https://www.routesonline.com/news/38/airlineroute/291417/saudia-ns20-international-inventory-update-as-of-23may20/,.Saudia,"Saudia International inventory update as of 23MAY20, eff. 01SEP20",,,,583
Saudi Arabia,SAU,44.547567,24.125926,29.05.2020,https://www.routesonline.com/news/38/airlineroute/291518/flynas-outlines-limited-domestic-operations-from-31may20/,.flynas,flynas outlines limited domestic operations from 31MAY20,,,,584
Scarborough Reef,xSR,117.780897,15.110537,,,,,,,,585
Senegal,SEN,-14.446465,14.366687,19.04.2020,https://www.routesonline.com/news/38/airlineroute/290677/air-senegal-extends-scheduled-service-suspension-till-mid-may-2020/,.Air Senegal,Air Senegal extends scheduled service suspension to 30JUN20,,,,586
Senkaku Islands,xSK,123.475678,25.745757,,,,,,,,587
Serbia,SRB,20.803944,44.032994,14.05.2020,https://www.routesonline.com/news/38/airlineroute/291367/air-serbia-21may20-14jun20-interim-operations-as-of-20may20/,.Air Serbia,Air Serbia 21MAY20 – 14JUN20 interim operations as of 20MAY20,,,,588
Serbia,SRB,20.803944,44.032994,25.05.2020,https://www.exyuaviation.com/2020/05/air-serbia-to-resume-further-nineteen.html,.Air Serbia,Air Serbia to resume additional flights between 15-21 June ,,,,589
Seychelles,SYC,55.467266,-4.678402,14.05.2020,https://www.routesonline.com/news/38/airlineroute/291268/air-seychelles-resumes-domestic-flights-from-late-april-2020/,.Air Seychelles,Air Seychelles resumes domestic flights from late-April 2020,,,,590
Sierra Leone,SLE,-11.779615,8.569795,,,,,,,,591
Singapore,SGP,103.810539,1.357382,25.04.2020,https://www.channelnewsasia.com/news/business/covid-19-singapore-airlines-flights-cancel-travel-extension-12676620,Singapore Airlines,Singapore Airlines extends flight cancelations to June,,,,592
Singapore,SGP,103.810539,1.357382,07.04.2020,https://www.routesonline.com/news/38/airlineroute/290672/singapore-airlines-12apr20-30apr20-operations-as-of-0430gmt-07apr20/,.Singapore Airlines,"Singapore Airlines 12APR20 – 30APR20 operations as of 0430GMT 07APR20",,,,593
Singapore,SGP,103.810539,1.357382,21.04.2020,https://www.routesonline.com/news/38/airlineroute/290889/singapore-airlines-may-2020-scheduled-passenger-service-as-of-0800gmt-21apr20/,.Singapore Airlines,Singapore Airlines May 2020 scheduled passenger service as of 21APR20,,,,594
Singapore,SGP,103.810539,1.357382,01.06.2020,https://www.channelnewsasia.com/news/business/covid19-singapore-airlines-sia-silkair-reinstate-some-flights-12792872,.Singapore Airlines,"Singapore Airlines, SilkAir reinstate flights for some destinations in June and July",,,,595
Singapore,SGP,103.810539,1.357382,01.05.2020,https://www.channelnewsasia.com/news/singapore/covid19-jetstar-asia-extends-suspension-of-flights-to-may-31-12694600,Jetstar Asia,Jetstar Asia extends suspension of flights to May 31,,,,596
Singapore,SGP,103.810539,1.357382,21.05.2020,https://www.routesonline.com/news/38/airlineroute/291378/scoot-june-2020-interim-operations-as-of-20may20/,.Scoot,"Scoot June 2020 Interim operations as of 20MAY20",,,,597
